"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",328500577.866667,721009208.633333,"nonmito",""
"AAAS","Q9NRG9-2;Q9NRG9",4718519982,4956521908,"nonmito",""
"AAGAB","Q6PD74;Q6PD74-2",97189580.975,83421826.67,"nonmito",""
"AAK1","Q2M2I8-2;Q2M2I8",331862544.5,340242184.2,"nonmito",""
"AAMDC","Q9H7C9",183450989.216667,237869536.866667,"nonmito",""
"AAMP","Q13685",121403968.316667,87327841.7766667,"nonmito",""
"AAR2","Q9Y312",90461401.6566667,71596119.3366667,"nonmito",""
"AARS2","Q5JTZ9",135120646.66,42359619.8666667,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",224985498.933333,186706183.933333,"nonmito",""
"AASDHPPT","Q9NRN7;Q9NRN7-2",273660761.9,334381830.533333,"nonmito",""
"AASS","Q9UDR5",76283127,132682063.033333,"mito",""
"AATF","Q9NY61",69962458.7583333,50112063.0466667,"nonmito",""
"ABAT","P80404",23635698.6766667,32682419.8166667,"mito",""
"ABCB6","Q9NP58-4;Q9NP58",133404870.936667,283951299.2,"mito",""
"ABCC1","P33527;P33527-9;P33527-4;P33527-2;P33527-3;P33527-6;P33527-7;P33527-5;P33527-8",397319330.983333,575579277.533333,"nonmito",""
"ABCD3","P28288;P28288-2",785481616.266667,770422666.466667,"mito",""
"ABCE1","P61221",2674671557.16667,2936586549.66667,"nonmito",""
"ABCF1","Q8NE71;Q8NE71-2",2084884588.16667,1805319225.66667,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",413273560.216667,397292116.566667,"nonmito",""
"ABCF3","Q9NUQ8-2;Q9NUQ8",397896139.133333,394613338.133333,"nonmito",""
"ABHD10","Q9NUJ1;Q9NUJ1-2;Q9NUJ1-3",394738915.033333,408059395.8,"mito",""
"ABHD11","Q8NFV4-4;Q8NFV4;Q8NFV4-6",162640381.57,168717458.74,"mito",""
"ABHD12","Q8N2K0-2;Q8N2K0;Q8N2K0-3",437892513.216667,325825529.7,"nonmito",""
"ABHD14B","Q96IU4",2909284625.16667,2821528573.66667,"nonmito",""
"ABHD16A","O95870;O95870-2",86024601.3916667,86468268.36,"nonmito",""
"ABHD4","Q8TB40",20946829.8536667,134819168.966667,"nonmito",""
"ABI1","Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-2;Q8IZP0-4;Q8IZP0-3;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;Q8IZP0;Q8IZP0-12;Q8IZP0-11",1169730672.33333,907983458.4,"nonmito",""
"ABLIM1","O14639-2;O14639-6;O14639-4;O14639-3;O14639-5;O14639",3885542.794,68827587.17,"nonmito",""
"ABLIM3","O94929-2;O94929-3;O94929",32870787.365,31830599.27,"nonmito",""
"ABR","Q12979-4;Q12979-2;Q12979",371659942.3,362051086.5,"nonmito",""
"ABRACL","Q9P1F3",633899975.433333,482798448.033333,"nonmito",""
"ACAA1","P09110;P09110-2",1279780639,1207622213.66667,"mito",""
"ACAA2","P42765",2657228543.66667,2354646158.33333,"mito",""
"ACACA","Q13085-3;Q13085-2;Q13085;Q13085-4",407874631.933333,332157446.133333,"mito",""
"ACAD11","Q709F0;Q709F0-2;Q709F0-3",141735149.068333,70599211.2166667,"mito",""
"ACAD9","Q9H845",618481368.566667,639619610.633333,"mito",""
"ACADM","P11310;P11310-2",407502571.2,450015954.033333,"mito",""
"ACADS","P16219",43840146.935,22488125.7333333,"mito",""
"ACADSB","P45954-2;P45954",151461703.333333,133524228.2,"mito",""
"ACADVL","P49748-2;P49748;P49748-3",7686809977.66667,5270245371.66667,"mito",""
"ACAP2","Q15057",269868972.066667,181395863.533333,"nonmito",""
"ACAT1","P24752",4046549684.16667,2840349190.33333,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",2229027399.66667,1600601675.33333,"nonmito",""
"ACBD3","Q9H3P7",1591896770.33333,1499530954,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3;Q5T8D3;Q5T8D3-4",85219847.1983333,64230402.5266667,"nonmito",""
"ACBD6","Q9BR61",82110518.7,101492691.94,"nonmito",""
"ACE","P12821;P12821-2;P12821-4;P12821-3",239161563.7,160009625.433333,"nonmito",""
"ACIN1","Q9UKV3;Q9UKV3-5;Q9UKV3-3;Q9UKV3-2",753822664.15,582973171.933333,"nonmito",""
"ACLY","P53396;P53396-2;P53396-3",12574735038.3333,16040435069.6667,"mito",""
"ACO1","P21399",2038560987.16667,2220785705,"nonmito",""
"ACO2","Q99798",5963811674.5,5692232380,"mito",""
"ACOT13","Q9NPJ3-2;Q9NPJ3",34236261.7925,43039267.935,"mito",""
"ACOT7","O00154-4;O00154-6;O00154-7;O00154;O00154-2;O00154-3;O00154-5",847635282.7,759860039.733333,"mito",""
"ACOT8","O14734",132720072.366667,130413116.9,"nonmito",""
"ACOT9","Q9Y305-2;Q9Y305;Q9Y305-4;Q9Y305-3",722093793.983333,633106338.966667,"mito",""
"ACOX1","Q15067-2;Q15067;Q15067-3",397683460.066667,414567291.5,"nonmito",""
"ACOX3","O15254;O15254-2",236608772.283333,234234013.533333,"nonmito",""
"ACP1","P24666;P24666-4;P24666-3",1102650576.28333,1136200662.06667,"nonmito",""
"ACP2","P11117",358734000.05,549515425.966667,"nonmito",""
"ACSF2","Q96CM8-4;Q96CM8-3;Q96CM8;Q96CM8-2",74815326.6083333,55524581.6533333,"mito",""
"ACSL1","P33121-2;P33121-3;P33121",276812288.516667,263890557.833333,"mito",""
"ACSL3","O95573",967470974.6,873244534.033333,"nonmito",""
"ACSL4","O60488-2;O60488",538792139.033333,382131101.866667,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",323625626.783333,313619401.5,"nonmito",""
"ACSS3","Q9H6R3;Q9H6R3-2",59641651.278,92105570.0233333,"mito",""
"ACTBL2","Q562R1",133551192.866667,22366220.1233333,"nonmito",""
"ACTG1","P63261",948833333333.333,1.087e+12,"nonmito",""
"ACTL6A","O96019;O96019-2",840183822.966667,651070355.866667,"nonmito",""
"ACTN4","O43707;O43707-2;O43707-3",61916962545.8333,71971281509,"nonmito",""
"ACTR10","Q9NZ32",465814307.966667,450904817.4,"nonmito",""
"ACTR1A","P61163",5608955937.66667,4503532412.33333,"nonmito",""
"ACTR1B","P42025",684592035.733333,520548903.2,"nonmito",""
"ACTR2","P61160;P61160-2",7507665736.66667,7205200734,"nonmito",""
"ACTR3","P61158",16859872616.3333,15415569249.6667,"nonmito",""
"ACY1","Q03154;Q03154-2;Q03154-3;Q03154-4",533597731.416667,853095253.4,"nonmito",""
"ACYP1","P07311",189078312.35,109615270.62,"nonmito",""
"ADA","P00813",1268375989.41667,1112853197.06667,"nonmito",""
"ADAM10","O14672;O14672-2",1380168839.66667,2470328203.33333,"nonmito",""
"ADAM17","P78536;P78536-2",163076683.066667,189103681.6,"nonmito",""
"ADAM9","Q13443;Q13443-2",394933050.85,325266795.066667,"nonmito",""
"ADAMTS1","Q9UHI8",190549917.188333,575260644.166667,"nonmito",""
"ADAR","P55265-5;P55265;P55265-4;P55265-2;P55265-3",1012745722.43333,1027254423.13333,"nonmito",""
"ADARB1","P78563-6;P78563-2;P78563-3;P78563-4;P78563;P78563-5",35980041.058,30869006.315,"nonmito",""
"ADCY3","O60266-2;O60266",21675041.194,27383395.4766667,"nonmito",""
"ADD1","P35611-2;P35611-6;P35611;P35611-3;P35611-4;P35611-5",3089229965.16667,3664474990.33333,"nonmito",""
"ADD3","Q9UEY8-2;Q9UEY8",1568237738.83333,2354619839.33333,"nonmito",""
"ADH5","P11766",10511346797.1667,8408375768.33333,"nonmito",""
"ADI1","Q9BV57;Q9BV57-2",1171128987.78333,667252287.566667,"nonmito",""
"ADIRF","Q15847",1895333011.16667,1684284309,"nonmito",""
"ADK","P55263-2;P55263;P55263-3;P55263-4",3185140667.5,3026551353.33333,"nonmito",""
"ADO","Q96SZ5",69553412.74,37745337.8033333,"nonmito",""
"ADPGK","Q9BRR6-2;Q9BRR6",845451448.316667,748278154.733333,"nonmito",""
"ADRM1","Q16186",104660157.755,112847885.5,"nonmito",""
"ADSL","P30566;P30566-2",1260702512.33333,1230027248.66667,"nonmito",""
"AEBP1","Q8IUX7;Q8IUX7-2",150541039.7,171178174.766667,"nonmito",""
"AFAP1","Q8N556;Q8N556-2",196495069.353333,554221549.833333,"nonmito",""
"AFG3L2","Q9Y4W6",406038645.9,486076537.2,"mito",""
"AGA","P20933",281361235.083333,351759842.433333,"nonmito",""
"AGFG1","P52594-2;P52594-3;P52594;P52594-4",844210395.416667,1045201317.2,"nonmito",""
"AGK","Q53H12",828528175.616667,851657679.066667,"mito",""
"AGL","P35573-2;P35573-3;P35573",301767203.433333,401819184.933333,"nonmito",""
"AGO2","Q9UKV8-2;Q9UKV8",303352245.983333,366134297.466667,"nonmito",""
"AGPS","O00116",1064335894.46667,1116957680.66667,"nonmito",""
"AGTRAP","Q6RW13;Q6RW13-2",171548082.366667,150466881.266667,"nonmito",""
"AHCY","P23526;P23526-2",4193650554,5195548597,"nonmito",""
"AHNAK","Q09666",317833333333.333,198333333333.333,"nonmito",""
"AHNAK2","Q8IVF2-3;Q8IVF2",22649179330.3333,7561613770.66667,"nonmito",""
"AHR","P35869",46846325.745,210445157.4,"nonmito",""
"AHSA1","O95433;O95433-2",1598529042.33333,1556198974.66667,"nonmito",""
"AIDA","Q96BJ3;Q96BJ3-3",576673437.3,737055500.233333,"nonmito",""
"AIFM1","O95831-3;O95831;O95831-2;O95831-5",2048685361.5,2070440624,"mito",""
"AIFM2","Q9BRQ8-2;Q9BRQ8",28241197.545,33198221.7833333,"mito",""
"AIMP1","Q12904;Q12904-2",2820329060.16667,3069010404.66667,"nonmito",""
"AIP","O00170",1319295092.83333,1123438206.33333,"nonmito",""
"AK1","P00568",5393045379.16667,6565897910,"nonmito",""
"AK2","P54819-2;P54819;P54819-3;P54819-5;P54819-6;P54819-4",2334520241.66667,2510803307.33333,"mito",""
"AK3","Q9UIJ7;Q9UIJ7-2;Q9UIJ7-3",1639445787.83333,1670665501.33333,"mito",""
"AK4","P27144",659786467.55,2422124252.66667,"mito",""
"AK5","Q9Y6K8;Q9Y6K8-3;Q9Y6K8-2",629570274.75,107094683.986667,"nonmito",""
"AK6","Q9Y3D8-2;Q9Y3D8",65683148.69,53937965.5,"nonmito",""
"AKAP12","Q02952;Q02952-3;Q02952-2",10199256453.6667,49324645296,"nonmito",""
"AKAP2","Q9Y2D5-6;Q9Y2D5-4;Q9Y2D5-5;Q9Y2D5;Q9Y2D5-7",3531242248.5,2654717834,"nonmito",""
